club,busyness,date
FABIJONIŠKĖS,11%,2021-12-13 12:00:06
PERKŪNKIEMIS,10%,2021-12-13 12:00:06
PILAITĖ,7%,2021-12-13 12:00:06
SAVANORIAI,16%,2021-12-13 12:00:06
ŠILAINIAI,15%,2021-12-13 12:00:06
ŽALGIRIO ARENA,7%,2021-12-13 12:00:06
ANTAKALNIS,6%,2021-12-13 13:00:06
BANGINIS,8%,2021-12-13 13:00:06
EUROPA,18%,2021-12-13 13:00:06
FABIJONIŠKĖS,12%,2021-12-13 13:00:06
PERKŪNKIEMIS,11%,2021-12-13 13:00:06
PILAITĖ,9%,2021-12-13 13:00:06
SAVANORIAI,16%,2021-12-13 13:00:06
ŠILAINIAI,9%,2021-12-13 13:00:06
ŽALGIRIO ARENA,3%,2021-12-13 13:00:06
ANTAKALNIS,14%,2021-12-13 14:00:06
BANGINIS,9%,2021-12-13 14:00:06
EUROPA,11%,2021-12-13 14:00:06
FABIJONIŠKĖS,11%,2021-12-13 14:00:06
PERKŪNKIEMIS,9%,2021-12-13 14:00:06
PILAITĖ,7%,2021-12-13 14:00:06
SAVANORIAI,11%,2021-12-13 14:00:06
ŠILAINIAI,12%,2021-12-13 14:00:06
ŽALGIRIO ARENA,0%,2021-12-13 14:00:06
ANTAKALNIS,17%,2021-12-13 15:00:06
BANGINIS,12%,2021-12-13 15:00:06
EUROPA,9%,2021-12-13 15:00:06
FABIJONIŠKĖS,12%,2021-12-13 15:00:06
PERKŪNKIEMIS,10%,2021-12-13 15:00:06
PILAITĖ,7%,2021-12-13 15:00:06
SAVANORIAI,15%,2021-12-13 15:00:06
ŠILAINIAI,16%,2021-12-13 15:00:06
ŽALGIRIO ARENA,0%,2021-12-13 15:00:06
ANTAKALNIS,18%,2021-12-13 16:00:06
BANGINIS,18%,2021-12-13 16:00:06
EUROPA,15%,2021-12-13 16:00:06
FABIJONIŠKĖS,18%,2021-12-13 16:00:06
PERKŪNKIEMIS,13%,2021-12-13 16:00:06
PILAITĖ,12%,2021-12-13 16:00:06
SAVANORIAI,22%,2021-12-13 16:00:06
ŠILAINIAI,21%,2021-12-13 16:00:06
